,Date,Content,Source
16,Recharge,"Thu, 24 Feb 2022 13:25:00 GMT","Green hydrogen now cheaper than blue in Middle East, but still way more expensive in Europe"
17,The Tico Times,"Fri, 25 Feb 2022 18:21:11 GMT",Costa Rica Pens Potential $2 Billion Green Hydrogen Investment :
18,CNBC,"Fri, 28 Jan 2022 08:00:00 GMT",Shell says one of the largest hydrogen electrolyzers in the world is now up and running in China
19,AllAfrica.com,"Fri, 25 Feb 2022 13:40:25 GMT",Namibia: First Green Hydrogen Plant Cost Set At N$271m
20,Upstream Online,"Fri, 25 Feb 2022 07:30:00 GMT",Japan's Itochu joins Brookfield in backing green hydrogen feasibility study Down Under
21,Recharge,"Wed, 16 Feb 2022 12:58:00 GMT",'Green hydrogen is now competitive with fossil fuels' | ArcelorMittal among offtakers at massive 7.4GW project in Spain | Recharge
22,Moneycontrol.com,"Thu, 17 Feb 2022 08:00:00 GMT",Green Hydrogen: All that you need to know and which stocks are set to gain
23,The Maritime Executive,"Sat, 26 Feb 2022 04:21:00 GMT",ABS: Offshore Wind Could Power the Hydrogen Economy
24,pv magazine USA,"Tue, 01 Feb 2022 08:00:00 GMT",Fuel cell manufacturer moves HQ to green hydrogen hub in Ohio
25,World Economic Forum,"Tue, 21 Dec 2021 08:00:00 GMT",What is green hydrogen? An expert explains its benefits
26,Hydrogen News - Green Hydrogen Report,"Mon, 07 Feb 2022 08:00:00 GMT",What will green hydrogen cost in 2030?
27,Economic Times,"Wed, 16 Feb 2022 08:00:00 GMT","India to launch Green Hydrogen policy on Thursday, to offer free access to manufacturers"
28,TIME,"Fri, 28 Jan 2022 08:00:00 GMT",Australia Just Exported Its First Batch of Fuel That Doesn't Emit CO2. There's Just One Catch
29,Times Union,"Sat, 19 Feb 2022 13:03:56 GMT",Plug Power forges agreement to gain 'last major element' in green hydrogen product line
30,NGT News,"Tue, 22 Feb 2022 19:51:28 GMT","Apex, Ares, EPIC Sign MoU for Green Hydrogen Hub in Corpus Christi, Texas"
31,Tech Xplore,"Fri, 28 Jan 2022 08:00:00 GMT",Advancing water electrolysis technology for the production of green hydrogen energy
32,PRNewswire,"Fri, 25 Feb 2022 14:00:00 GMT",Guidehouse Launches Building the Clean Hydrogen Economy Consortium
33,Casper Star-Tribune Online,"Sat, 26 Feb 2022 03:14:03 GMT",Western states join forces to secure hydrogen hub
34,Sierra Magazine,"Sun, 13 Feb 2022 19:13:52 GMT",Sierra Club Explains Support for Green Hydrogen
35,Renewable Energy Magazine,"Thu, 10 Feb 2022 08:00:00 GMT",Hydrogen
36,EURACTIV,"Mon, 07 Feb 2022 08:00:00 GMT",Portugal's KEME Energy to invest €5.2m in green hydrogen production in Sines
37,Outlook India,"Wed, 23 Feb 2022 11:21:17 GMT",Mukesh Ambani’s Next Big Idea Is To Reduce Price Of Green Hydrogen By 50%
38,Bloomberg,"Sat, 29 Jan 2022 08:00:00 GMT",Ambani's $75 Billion Plan Aims to Make India a Hydrogen Hub
39,Senator Schumer,"Tue, 15 Feb 2022 23:55:36 GMT",Press Release | Press Releases | Newsroom | US Senator Chuck Schumer of New York
40,S&P Global,"Thu, 27 Jan 2022 08:00:00 GMT","NextEra hydrogen moves not predicated on tax credits, but optimism still holds"
41,Times of India,"Sat, 19 Feb 2022 16:13:00 GMT",Why it is too early for government to bet big on green hydrogen
42,Moneycontrol.com,"Mon, 21 Feb 2022 16:06:39 GMT",Adani Group in pact with Ballard to manufacture hydrogen fuel cells in India
43,Reuters India,"Sat, 12 Feb 2022 08:00:00 GMT",India's Reliance plans to turn syngas into blue hydrogen
44,Deccan Herald,"Mon, 21 Feb 2022 19:01:09 GMT","‘New policy to focus on green hydrogen, hybrid power parks’"
45,Offshore Energy,"Fri, 28 Jan 2022 08:00:00 GMT",Yara and Linde to build green hydrogen plant in Norway
46,Creamer Media's Engineering News,"Tue, 22 Feb 2022 12:02:00 GMT","Niger, Emerging Energy Corp sign green hydrogen development agreement"
47,Airport Technology,"Thu, 24 Feb 2022 12:59:22 GMT",Airbus' hydrogen-powered superjumbo to take flight in 2035
48,The Guardian,"Wed, 02 Feb 2022 08:00:00 GMT",Does Labor’s green hydrogen plan for the Kurri Kurri gas power plant stack up?
49,Creamer Media's Mining Weekly,"Tue, 22 Feb 2022 08:42:00 GMT","Kumba fast-tracking solar, customising green hydrogen, sees good lump premium prospects"
50,Rigzone News,"Thu, 10 Feb 2022 08:00:00 GMT",Petrofac Bags Sakhalin Green Hydrogen Study
51,Arab News,"Wed, 23 Feb 2022 10:08:32 GMT",Europe's $11bn Nord Stream 2 comes to a halt; Portugal to open a green hydrogen plant: NRG matters
52,Renewables Now,"Fri, 25 Feb 2022 14:01:00 GMT",German TSO TransnetBW to test hydrogen as grid booster
53,Rocky Mountain Institute,"Tue, 22 Feb 2022 18:46:47 GMT",Reality Check: Europe Must Go Renewable to Escape Energy and Climate Crisis
54,Renewables Now,"Fri, 25 Feb 2022 12:52:00 GMT","Universal Hydrogen preps 1st hydrogen flight, partners with Elix Aviation"
55,The Maritime Executive,"Sat, 26 Feb 2022 00:56:40 GMT",Video: Concept for Hydrogen Fuel Cell Cargo Ship for Intra-Asia Routes
56,Outlook India,"Sat, 26 Feb 2022 08:15:00 GMT",The Russia-Ukraine War A Blip For India’s Renewables
57,pv magazine International,"Thu, 24 Feb 2022 05:44:13 GMT",Australian hydrogen battery technology to be tested in UK
58,Morocco World News,"Fri, 04 Feb 2022 08:00:00 GMT",Total Eren to Launch Green Hydrogen Megaproject in Morocco
59,The Maritime Executive,"Fri, 25 Feb 2022 02:42:00 GMT","""Unreliable"" Russian Gas Gives EU a New Reason for Green Transition"
60,pv magazine International,"Mon, 21 Feb 2022 10:43:00 GMT",Barbados to host 50MW/128 MWh solar-hydrogen-battery facility
61,BusinessLine,"Sat, 26 Feb 2022 04:22:01 GMT",Watch | All you need to know about India’s Green Hydrogen policy
62,Fortescue Metals Group,"Wed, 02 Feb 2022 08:00:00 GMT",Global green energy and technology company Fortescue Future Industries acquires stake in South Australian company to develop and commercialise next-generation green hydrogen technology
63,pv magazine Australia,"Tue, 22 Feb 2022 21:30:48 GMT","India and Australia sign letter of intent on solar, 'clean' hydrogen"
64,CNN,"Tue, 31 Aug 2021 07:00:00 GMT",Green hydrogen could be the fuel of the future. Here's why it's not yet a silver bullet
65,Daily Ardmoreite,"Wed, 08 Dec 2021 08:00:00 GMT","Woodside Energy, Ltd announces plans for green hydrogen facility"
66,Resilience,"Thu, 30 Sep 2021 07:00:00 GMT",Green Hydrogen's Rapidly Falling Costs Undermine the Gas Industry's Argument for Blue Hydrogen
67,ThinkGeoEnergy,"Thu, 16 Dec 2021 08:00:00 GMT",Green Hydrogen: Geothermal’s route to pseudo-commoditization?
68,GreenBiz,"Mon, 14 Jun 2021 07:00:00 GMT",The road to green hydrogen is paved with collaboration | Greenbiz
69,GreenBiz,"Wed, 17 Nov 2021 08:00:00 GMT",Could this be the turning point for green hydrogen? | Greenbiz
70,The Ecologist,"Tue, 18 May 2021 07:00:00 GMT",Blue hydrogen v green hydrogen
71,Fortune,"Wed, 19 Jan 2022 08:00:00 GMT","Green hydrogen has long been hyped as a replacement for fossil fuels. Now, one of the industry’s biggest players is preparing its IPO"
72,OPB News,"Sat, 11 Dec 2021 08:00:00 GMT",Green hydrogen production could benefit from Oregon State research
73,Science Daily,"Fri, 14 Jan 2022 08:00:00 GMT",A catalyst for more efficient green hydrogen production
74,World Economic Forum,"Tue, 29 Jun 2021 07:00:00 GMT",4 Technologies Driving The Green Hydrogen Revolution | World Economic Forum
75,ThinkGeoEnergy,"Wed, 19 Jan 2022 08:00:00 GMT",CeraPhi Energy and CCV to produce Green Hydrogen from geothermal
76,Environment + Energy Leader,"Mon, 13 Dec 2021 08:00:00 GMT",Electrolysis Plant to Aid Large Green Hydrogen Project
77,Reuters,"Mon, 08 Nov 2021 08:00:00 GMT",Shell and Norsk Hydro team up for green hydrogen
78,Al Jazeera English,"Sat, 20 Nov 2021 08:00:00 GMT",Green Hydrogen: The new scramble for North Africa
79,South China Morning Post,"Tue, 07 Dec 2021 08:00:00 GMT",What is green hydrogen and can it help China meet its carbon goals?
80,ny.gov,"Wed, 20 Oct 2021 07:00:00 GMT",Governor Hochul Announces Construction Start at Largest Green Hydrogen Plant in North America
81,Down To Earth Magazine,"Fri, 25 Feb 2022 12:58:23 GMT",Russia-Ukraine war to have 'ripple effects' on India's fuel prices: Experts
82,NRDC (Natural Resources Defense Council),"Wed, 25 Aug 2021 07:00:00 GMT",Green Hydrogen Opportunities for the Midwest
83,GlobalComplianceNews,"Fri, 24 Sep 2021 07:00:00 GMT",Chile: Green Hydrogen
84,Utility Dive,"Thu, 21 Oct 2021 07:00:00 GMT","NextEra doubles down on green hydrogen, other renewables"
85,Reuters,"Mon, 01 Nov 2021 07:00:00 GMT","Argentina, Fortescue unveil $8.4 bln green hydrogen investment plan"
86,J.D. Power,"Mon, 27 Sep 2021 07:00:00 GMT","What's the Difference Between Gray, Blue, and Green Hydrogen?"
87,Forbes,"Mon, 29 Nov 2021 08:00:00 GMT",Hydrogenious Is Using Conventional Fuel Infrastructure To Scale Green Hydrogen Adoption
88,Reuters,"Thu, 23 Sep 2021 07:00:00 GMT",Australian billionaire sets up global green hydrogen organisation
89,pv magazine USA,"Mon, 17 May 2021 07:00:00 GMT",Green hydrogen venture aims for $1.50/kg for LA by 2030
90,Axios,"Fri, 13 Aug 2021 07:00:00 GMT","Green hydrogen could be cost-competitive in just a decade, report finds"
91,Reuters,"Wed, 12 Jan 2022 08:00:00 GMT",Japan's Sojitz to provide green hydrogen made in Australia to Palau
92,Reuters,"Thu, 23 Dec 2021 08:00:00 GMT",Germany approves 900 mln euros for green hydrogen project
93,CNBC,"Fri, 03 Dec 2021 08:00:00 GMT",Huge $2.6 billion green hydrogen project planned for Europe
94,S&P Global,"Thu, 02 Dec 2021 08:00:00 GMT",Green hydrogen at sub-$2/kg already possible in best solar locations: International Solar Alliance
95,IndiaSpend,"Sun, 26 Sep 2021 07:00:00 GMT",Explained: Whats Green Hydrogen And Why Its Important For Indias Climate Goals
96,S&P Global,"Wed, 10 Nov 2021 08:00:00 GMT",New Jersey Resources starts up 1st East Coast green hydrogen blending project
97,CNBC,"Tue, 07 Dec 2021 08:00:00 GMT",Green hydrogen hub backed by $5 billion of investment planned for the UAE
98,Associated Press,"Wed, 20 Oct 2021 07:00:00 GMT",Green hydrogen hub in Mississippi to be largest in US
99,Euronews,"Mon, 08 Nov 2021 08:00:00 GMT",Green hydrogen: How half the water flushing a toilet could power your home for days
100,Times Union,"Thu, 11 Nov 2021 08:00:00 GMT",Plug Power continues spending spree on green hydrogen
101,CNBC,"Mon, 01 Nov 2021 07:00:00 GMT",British firm JCB signs multibillion-dollar deal to import green hydrogen
102,CNBC,"Thu, 28 Oct 2021 07:00:00 GMT","Australia and the Middle East could lead exports of ‘green’ hydrogen, new report says"
103,Deutsche Welle,"Thu, 13 Jan 2022 08:00:00 GMT",When will Ukraine benefit from its green hydrogen potential?
104,Reuters,"Sun, 10 Oct 2021 07:00:00 GMT",Australia's Fortescue to make green hydrogen equipment in Queensland
105,CSRwire.com,"Tue, 11 Jan 2022 08:00:00 GMT",Cummins Part of Partnership to Increase Supply of Green Hydr
106,Recharge,"Wed, 22 Dec 2021 08:00:00 GMT",'Out of the lab': green hydrogen biggest winner as US forms $21bn Office of Clean Energy Demonstrations
